id,data,tip,period,n_words_raw,n_lemmas_clean,n_unique_lemmas,ttr_lemma,n_sentences
2025-05-08_dezbatere-euronews-simion,2025-05-08,dezbatere-electorala,2025Q2 campanie + investitură,63,34,28,0.824,5
2024-12-16_anunt-candidatura,2024-12-16,anunt-candidatura,2024Q4-2025Q1 candidatură-precampanie,113,55,44,0.8,9
2025-02-03_lansare-campanie-romania-onesta,2025-02-03,lansare-campanie,2024Q4-2025Q1 candidatură-precampanie,184,90,68,0.756,13
2025-05-19_discurs-victorie,2025-05-19,discurs-victorie,2025Q2 campanie + investitură,255,102,70,0.686,17
2025-05-26_discurs-investitura,2025-05-26,discurs-investitura,2025Q2 campanie + investitură,992,528,325,0.616,26
2025-06-04_conferinta-presa-cotroceni,2025-06-04,conferinta-presa,2025Q3 deficit + reforma economică,108,50,44,0.88,9
2025-09-04_autoevaluare-100-zile,2025-09-04,interviu-autoevaluare,2025Q4 stabilizare + diplomație,157,67,59,0.881,17
2025-12-31_mesaj-anul-nou,2025-12-31,mesaj-anul-nou,2025Q4-2026Q1 reformă judiciară,277,142,116,0.817,16
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,2282,918,435,0.474,0
2024-12-16_nicusor-dan-intentionez-sa-candidez-ca-independent-la-aleger,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,675,297,191,0.643,0
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,2366,997,442,0.443,0
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,3921,1559,593,0.38,0
2024-12-19_nicusor-dan-dupa-retragerea-psd-de-la-negocieri-sunt-surprin,2024-12-19,video-transcript,2024Q4-2025Q1 candidatură-precampanie,481,213,122,0.573,0
2024-12-25_mesajul-lui-nicusor-dan-pentru-romani-stiri-b1tv-25-dec-2024,2024-12-25,video-transcript,2024Q4-2025Q1 candidatură-precampanie,199,97,74,0.763,0
2024-12-30_nicusor-dan-candidez-indiferent-de-ce-va-fi-stiri-b1tv-30-de,2024-12-30,video-transcript,2024Q4-2025Q1 candidatură-precampanie,205,91,63,0.692,0
2024-12-30_nicusor-dan-despre-calin-georgescu-stiri-b1tv-30-dec-2024,2024-12-30,video-transcript,2024Q4-2025Q1 candidatură-precampanie,583,247,150,0.607,0
2025-01-09_nicusor-dan-critica-decizia-coalitiei-privind-data-alegerilo,2025-01-09,video-transcript,2024Q4-2025Q1 candidatură-precampanie,478,215,140,0.651,0
2025-01-13_nicusor-dan-explicatiile-privind-anularea-prezidentialelor-s,2025-01-13,video-transcript,2024Q4-2025Q1 candidatură-precampanie,114,46,32,0.696,0
